# scenario_id	status	covering_tests (semicolon-separated)
APP-001	active	
APP-002	active	
APP-003	active	
APP-004	active	
APP-005	active	
APP-006	active	
APP-007	active	CrispyVibesUITests.UITestPlaceholder/testKeyboardShortcutFocusesSecondProjectDirectly; CrispyVibesUITests.UITestPlaceholder/testSwitchProjectFromRailAndKeyboardShortcut
APP-008	active	
APP-009	active	
APP-010	active	CrispyVibesUnitTests.AppShellModelTests/testInfoPlistIdentityMetadata
APP-011	active	CrispyVibesUnitTests.AppShellModelTests/testInfoPlistIdentityMetadata
APP-012	active	CrispyVibesUnitTests.AppShellModelTests/testAppearancePreferenceMetadata
APP-013	active	CrispyVibesUnitTests.AppShellModelTests/testAppearancePreferenceMetadata
APP-014	active	CrispyVibesUnitTests.AppShellModelTests/testProjectRailPositionMetadata
APP-015	active	CrispyVibesUnitTests.AppShellModelTests/testProjectRailPositionMetadata
APP-016	active	CrispyVibesIntegrationTests.VibeSpaceBehavioralTests/testVibeSpaceSnapshotAndLayoutRoundTripFlow
APP-017	active	CrispyVibesUnitTests.LayoutPersistenceServiceTests/testVibeSpaceRailPersistenceAndClamping
APP-018	active	CrispyVibesUnitTests.LayoutPersistenceServiceTests/testVibeSpaceRailPersistenceAndClamping
APP-019	active	CrispyVibesIntegrationTests.VibeSpaceBehavioralTests/testVibeSpaceAddAndRemoveProjectsFlow; CrispyVibesUnitTests.VibeSpaceStateTests/testAddProjectsResolvesNewDirectoriesAndKeepsMissingPaths
APP-020	active	CrispyVibesUnitTests.VibeSpaceStateTests/testAddProjectsResolvesNewDirectoriesAndKeepsMissingPaths
APP-021	active	CrispyVibesUnitTests.VibeSpaceStateTests/testInitializationDeduplicatesAndTracksUnresolvedPaths; CrispyVibesIntegrationTests.VibeSpaceBehavioralTests/testVibeSpaceAddAndRemoveProjectsFlow
APP-022	active	CrispyVibesUITests.UITestPlaceholder/testVibeSpaceWithNoProjectsShowsAddProjectsCallToAction
APP-023	active	CrispyVibesUITests.UITestPlaceholder/testLaunchWithSeededVibeSpaceRendersProjectShell
APP-024	active	CrispyVibesUITests.UITestPlaceholder/testSingleProjectRailShowsAddProjectsCallToAction
APP-025	active	CrispyVibesUITests.UITestPlaceholder/testProjectRailCardFocusUpdatesFocusedProjectTitle; CrispyVibesUITests.UITestPlaceholder/testSwitchProjectFromRailAndKeyboardShortcut
APP-026	active	
APP-027	active	CrispyVibesUnitTests.VibeSpaceStateTests/testRemoveProjectUpdatesFocusAndPrunesColorTag; CrispyVibesUITests.UITestPlaceholder/testProjectRailCloseButtonRemovesStackedProject
APP-028	active	
APP-029	active	CrispyVibesUnitTests.TerminalViewModelTests/testRestartPaneClearsStateAndCreatesFreshTab; CrispyVibesUITests.UITestPlaceholder/testFocusedProjectRestartAndCloseControls
APP-030	active	CrispyVibesUITests.UITestPlaceholder/testFocusedProjectRestartAndCloseControls; CrispyVibesUnitTests.VibeSpaceStateTests/testRemoveProjectUpdatesFocusAndPrunesColorTag
APP-031	active	
APP-032	active	
APP-033	active	
APP-034	active	CrispyVibesUITests.UITestPlaceholder/testDashboardNavigationRoundTrip; CrispyVibesUITests.UITestPlaceholder/testDashboardShowsVibeSpaceSummaryAndActions
APP-035	active	
APP-036	active	CrispyVibesUnitTests.VibeSpaceStateTests/testReconcileProjectAvailabilityMovesMissingAndRecoversResolved; CrispyVibesIntegrationTests.VibeSpaceBehavioralTests/testVibeSpaceSnapshotAndLayoutRoundTripFlow; CrispyVibesIntegrationTests.VibeSpacePersistenceIntegrationTests/testVibeSpaceCatalogHydrationPerformance
APP-037	active	CrispyVibesUnitTests.VibeSpaceStateTests/testRemoveUnresolvedProjectPrunesAssociatedColorTag
APP-038	active	CrispyVibesUnitTests.VibeSpaceStateTests/testRelinkUnresolvedToExistingProjectMovesColorTag; CrispyVibesUnitTests.VibeSpaceStateTests/testRelinkUnresolvedToMissingReplacementUpdatesTrackedPath; CrispyVibesUnitTests.VibeSpaceStateTests/testRelinkUnresolvedRecoversProjectWhenPathReturns
APP-039	active	CrispyVibesUnitTests.LayoutPersistenceServiceTests/testPaneLayoutPersistenceAndNormalization
APP-040	active	CrispyVibesUnitTests.LayoutPersistenceServiceTests/testPaneLayoutPersistenceAndNormalization; CrispyVibesIntegrationTests.VibeSpaceBehavioralTests/testVibeSpaceSnapshotAndLayoutRoundTripFlow
APP-041	active	CrispyVibesUnitTests.VibeSpaceStateTests/testSnapshotRoundTripRestoresFocusedProjectAndColorTags; CrispyVibesUITests.UITestPlaceholder/testProjectColorPopoverShowsPickerAndCanClearAssignedColor
APP-042	active	CrispyVibesUnitTests.VibeSpaceStateTests/testSnapshotRoundTripRestoresFocusedProjectAndColorTags
APP-043	active	CrispyVibesUITests.UITestPlaceholder/testProjectColorPopoverShowsPickerAndCanClearAssignedColor
APP-044	active	CrispyVibesUITests.UITestPlaceholder/testVibeSpaceSettingsOpensFromDashboardAndShowsCategories
APP-045	active	CrispyVibesUnitTests.TerminalViewModelTests/testEnsureTerminalCountAddsTabsUpToRequestedMinimum; CrispyVibesUnitTests.TerminalViewModelTests/testRunStartupCommandOnPrimaryTabSelectsPrimaryAndSetsCustomName
APP-046	active	CrispyVibesUnitTests.VibeSpaceStateTests/testSnapshotRoundTripRestoresFocusedProjectAndColorTags; CrispyVibesUnitTests.VibeSpaceStateTests/testSetStartupOverrideByProjectPathStoresAndClearsEntry
APP-047	active	CrispyVibesUnitTests.VibeSpaceStateTests/testProjectShortcutsAutoAssignAndPersist
APP-048	active	CrispyVibesUnitTests.VibeSpaceStateTests/testSetShortcutReassignsConflictingSlot
